intersection_uid,date_range,classification_uid,reason
1,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
5,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
10,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
22,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
26,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
1,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
5,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
10,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
22,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
26,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
1,"[2017-10-03 00:00, 2017-10-30 00:00)",Pedestrians,Baseline volume issues for peds and bikes
5,"[2017-10-03 00:00, 2017-10-30 00:00)",Pedestrians,Baseline volume issues for peds and bikes
10,"[2017-10-03 00:00, 2017-10-30 00:00)",Pedestrians,Baseline volume issues for peds and bikes
22,"[2017-10-03 00:00, 2017-10-30 00:00)",Pedestrians,Baseline volume issues for peds and bikes
26,"[2017-10-03 00:00, 2017-10-30 00:00)",Pedestrians,Baseline volume issues for peds and bikes
2,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
6,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
12,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
23,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
27,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
2,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
6,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
12,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
23,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
27,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
2,"[2017-10-03 00:00, 2017-11-08 00:00)",Pedestrians,Baseline volume issues for peds and bikes
6,"[2017-10-03 00:00, 2017-11-08 00:00)",Pedestrians,Baseline volume issues for peds and bikes
12,"[2017-10-03 00:00, 2017-11-08 00:00)",Pedestrians,Baseline volume issues for peds and bikes
23,"[2017-10-03 00:00, 2017-11-08 00:00)",Pedestrians,Baseline volume issues for peds and bikes
27,"[2017-10-03 00:00, 2017-11-08 00:00)",Pedestrians,Baseline volume issues for peds and bikes
3,"[2017-10-03 00:00, 2017-11-06 00:00)",Cyclists,Baseline volume issues for peds and bikes
7,"[2017-10-03 00:00, 2017-11-06 00:00)",Cyclists,Baseline volume issues for peds and bikes
17,"[2017-10-03 00:00, 2017-11-06 00:00)",Cyclists,Baseline volume issues for peds and bikes
24,"[2017-10-03 00:00, 2017-11-06 00:00)",Cyclists,Baseline volume issues for peds and bikes
28,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
31,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
3,"[2017-10-03 00:00, 2017-11-06 00:00)",Cyclists,Baseline volume issues for peds and bikes
7,"[2017-10-03 00:00, 2017-11-06 00:00)",Cyclists,Baseline volume issues for peds and bikes
17,"[2017-10-03 00:00, 2017-11-06 00:00)",Cyclists,Baseline volume issues for peds and bikes
24,"[2017-10-03 00:00, 2017-11-06 00:00)",Cyclists,Baseline volume issues for peds and bikes
28,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
31,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
3,"[2017-10-03 00:00, 2017-11-06 00:00)",Pedestrians,Baseline volume issues for peds and bikes
7,"[2017-10-03 00:00, 2017-11-06 00:00)",Pedestrians,Baseline volume issues for peds and bikes
17,"[2017-10-03 00:00, 2017-11-06 00:00)",Pedestrians,Baseline volume issues for peds and bikes
24,"[2017-10-03 00:00, 2017-11-06 00:00)",Pedestrians,Baseline volume issues for peds and bikes
28,"[2017-10-03 00:00, 2017-11-08 00:00)",Pedestrians,Baseline volume issues for peds and bikes
31,"[2017-10-03 00:00, 2017-11-08 00:00)",Pedestrians,Baseline volume issues for peds and bikes
4,"[2017-10-03 00:00, 2017-11-01 00:00)",Cyclists,Baseline volume issues for peds and bikes
8,"[2017-10-03 00:00, 2017-11-01 00:00)",Cyclists,Baseline volume issues for peds and bikes
20,"[2017-10-03 00:00, 2017-11-01 00:00)",Cyclists,Baseline volume issues for peds and bikes
25,"[2017-10-03 00:00, 2017-11-01 00:00)",Cyclists,Baseline volume issues for peds and bikes
29,"[2017-10-03 00:00, 2017-11-01 00:00)",Cyclists,Baseline volume issues for peds and bikes
4,"[2017-10-03 00:00, 2017-11-01 00:00)",Cyclists,Baseline volume issues for peds and bikes
8,"[2017-10-03 00:00, 2017-11-01 00:00)",Cyclists,Baseline volume issues for peds and bikes
20,"[2017-10-03 00:00, 2017-11-01 00:00)",Cyclists,Baseline volume issues for peds and bikes
25,"[2017-10-03 00:00, 2017-11-01 00:00)",Cyclists,Baseline volume issues for peds and bikes
29,"[2017-10-03 00:00, 2017-11-01 00:00)",Cyclists,Baseline volume issues for peds and bikes
4,"[2017-10-03 00:00, 2017-11-01 00:00)",Pedestrians,Baseline volume issues for peds and bikes
8,"[2017-10-03 00:00, 2017-11-01 00:00)",Pedestrians,Baseline volume issues for peds and bikes
20,"[2017-10-03 00:00, 2017-11-01 00:00)",Pedestrians,Baseline volume issues for peds and bikes
25,"[2017-10-03 00:00, 2017-11-01 00:00)",Pedestrians,Baseline volume issues for peds and bikes
29,"[2017-10-03 00:00, 2017-11-01 00:00)",Pedestrians,Baseline volume issues for peds and bikes
4,"[2017-11-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
8,"[2017-11-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
20,"[2017-11-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
25,"[2017-11-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
29,"[2017-11-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
4,"[2017-11-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
8,"[2017-11-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
20,"[2017-11-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
25,"[2017-11-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
29,"[2017-11-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
4,"[2017-11-03 00:00, 2017-11-08 00:00)",Pedestrians,Baseline volume issues for peds and bikes
8,"[2017-11-03 00:00, 2017-11-08 00:00)",Pedestrians,Baseline volume issues for peds and bikes
20,"[2017-11-03 00:00, 2017-11-08 00:00)",Pedestrians,Baseline volume issues for peds and bikes
25,"[2017-11-03 00:00, 2017-11-08 00:00)",Pedestrians,Baseline volume issues for peds and bikes
29,"[2017-11-03 00:00, 2017-11-08 00:00)",Pedestrians,Baseline volume issues for peds and bikes
17,"[2018-05-29 07:00, 2018-05-29 10:00)",Vehicles,Gaps in the data prevented a full 3 hour period
24,"[2018-05-28 16:00, 2018-05-28 19:00)",Vehicles,Gaps in the data prevented a full 3 hour period
24,"[2018-05-31 16:00, 2018-05-31 19:00)",Vehicles,Gaps in the data prevented a full 3 hour period
17,"[2018-05-29 07:00, 2018-05-29 10:00)",Cyclists,Gaps in the data prevented a full 3 hour period
24,"[2018-05-28 16:00, 2018-05-28 19:00)",Cyclists,Gaps in the data prevented a full 3 hour period
24,"[2018-05-31 16:00, 2018-05-31 19:00)",Cyclists,Gaps in the data prevented a full 3 hour period
17,"[2018-05-29 07:00, 2018-05-29 10:00)",Vehicles,Gaps in the data prevented a full 3 hour period
24,"[2018-05-28 16:00, 2018-05-28 19:00)",Vehicles,Gaps in the data prevented a full 3 hour period
24,"[2018-05-31 16:00, 2018-05-31 19:00)",Vehicles,Gaps in the data prevented a full 3 hour period
17,"[2018-05-29 07:00, 2018-05-29 10:00)",Vehicles,Gaps in the data prevented a full 3 hour period
24,"[2018-05-28 16:00, 2018-05-28 19:00)",Vehicles,Gaps in the data prevented a full 3 hour period
24,"[2018-05-31 16:00, 2018-05-31 19:00)",Vehicles,Gaps in the data prevented a full 3 hour period
17,"[2018-05-29 07:00, 2018-05-29 10:00)",Cyclists,Gaps in the data prevented a full 3 hour period
24,"[2018-05-28 16:00, 2018-05-28 19:00)",Cyclists,Gaps in the data prevented a full 3 hour period
24,"[2018-05-31 16:00, 2018-05-31 19:00)",Cyclists,Gaps in the data prevented a full 3 hour period
17,"[2018-05-29 07:00, 2018-05-29 10:00)",Pedestrians,Gaps in the data prevented a full 3 hour period
24,"[2018-05-28 16:00, 2018-05-28 19:00)",Pedestrians,Gaps in the data prevented a full 3 hour period
24,"[2018-05-31 16:00, 2018-05-31 19:00)",Pedestrians,Gaps in the data prevented a full 3 hour period
